carbon_diatom,carbon_dinoflagellate,month,grazing threshold, ,
0.03,0.05,1,0, ,
0,0,2,0,,
0,0.25,3,0,,
0,8.63,4,0,, 
0.33,4.43,5,0,,
3.37,3,6,0,,
2.66,3.13,7,0,,
1.82,2.55,8,0,,
1.58,1.97,9,0,,
0.96,2.02,10,0,,
0.32,1.37,11,0,,
0.01,0.03,12,0,,
0.04,0.06,1,0.01,,
0.02,0.05,2,0.01,,
0.02,1.61,3,0.01,,
0.04,9.76,4,0.01,, 
2.25,4,5,0.01,,
3.05,2.89,6,0.01,,
2.35,3.02,7,0.01,,
1.88,2.47,8,0.01,,
1.46,1.91,9,0.01,,
0.93,2.06,10,0.01,,
0.38,1.38,11,0.01,,
0.02,0.04,12,0.01,,
0.17,0.23,1,0.1,,
0.2,0.43,2,0.1,,
0.21,3.42,3,0.1,,
0.36,9.89,4,0.1,,
3.38,3.8,5,0.1,,
3.08,2.87,6,0.1,,
2.29,2.92,7,0.1,,
1.78,2.53,8,0.1,,
1.4,2.04,9,0.1,,
0.9,2.04,10,0.1,,
0.37,1.41,11,0.1,,
0.15,0.17,12,0.1,,
0.18,0.23,1,1,,
0.36,1.08,2,1,,
1.75,5.62,3,1,,
2.54,9.52,4,1,,
4.09,4.77,5,1,,
3.08,3.47,6,1,,
2.67,3.64,7,1,,
2.77,2.99,8,1,,
2.51,2.21,9,1,,
1.98,2.24,10,1,,
1.86,3.2,11,1,,
1.3,0.96,12,1,,
0.18,0.23,1,10,,
0.36,1.08,2,10,,
3.23,12.55,3,10,,
15.5,23.25,4,10,,
13.91,8.31,5,10,,
12.51,5.33,6,10,,
9.1,5.23,7,10,,
6.62,5.1,8,10,,
5.56,5.49,9,10,,
5.08,7.45,10,10,,
5.71,6.3,11,10,,
3.18,1.35,12,10,,
