carbon_diatom,carbon_dinoflagellate,month,annual variability,,
0.16,0.22,1,1976,,
0.18,0.28,2,1976,,
0.21,1.25,3,1976,,
0.45,7.82,4,1976,,
4.84,5.5,5,1976,,
3.36,3.55,6,1976,,
2.61,2.84,7,1976,,
1.74,2.59,8,1976,,
0.99,2.05,9,1976,,
1.09,2.84,10,1976,,
0.6,1.95,11,1976,,
0.15,0.25,12,1976,,
0.18,0.33,1,2001,,
0.2,0.66,2,2001,,
0.21,4.05,3,2001,,
0.33,9.21,4,2001,,
3.27,4.1,5,2001,,
3.09,3.01,6,2001,,
2.11,2.71,7,2001,,
1.86,2.3,8,2001,,
1.16,1.92,9,2001,,
1.06,2.7,10,2001,,
0.55,2.07,11,2001,,
0.15,0.23,12,2001,,
0.17,0.23,1,2004,,
0.2,0.43,2,2004,,
0.21,3.41,3,2004,,
0.3,9.41,4,2004,,
2.05,3.99,5,2004,,
1.83,2.86,6,2004,,
1.65,2.98,7,2004,,
1.25,2.55,8,2004,,
1.08,2.05,9,2004,,
0.83,2.14,10,2004,,
0.36,1.48,11,2004,,
0.14,0.17,12,2004,,
