"","var","carbon_diatom","carbon_dinoflagellate"
"1","annual.variability",40.62,96.13
"2","depth",236.91,378.66
"3","grazing.threshold",143.84,210.03
"4","latitude",55.63,129.75
"5","minimum.grazing.rate",28.2,69.22
"6","recycled.nitrogen",38.81,89.37
"7","vertical.PAR",28.27,63.82
