TRACKID,RESOLUTION,TIME_DATE,LON,LAT
05_1a,900,15/02/2008 14:15,-38.059535,-54.008653
05_1a,900,15/02/2008 14:30,-38.085207,-54.014505
05_1a,900,15/02/2008 14:45,-38.106289,-53.995808
05_1a,900,15/02/2008 15:00,-38.210209,-53.93951
05_1a,900,15/02/2008 15:15,-38.288517,-53.837628
05_1a,900,15/02/2008 15:30,-38.29802,-53.772805
05_1a,900,15/02/2008 15:45,-38.316588,-53.738159
05_1a,900,15/02/2008 16:00,-38.316671,-53.738532
05_1a,900,15/02/2008 16:15,-38.317974,-53.739643
05_1a,900,15/02/2008 16:30,-38.318847,-53.740703
05_1a,900,15/02/2008 16:45,-38.319804,-53.74159
05_1a,900,15/02/2008 17:00,-38.351558,-53.703484
05_1a,900,15/02/2008 17:15,-38.418806,-53.649813
05_1a,900,15/02/2008 17:30,-38.449298,-53.615671
05_1a,900,15/02/2008 17:45,-38.549756,-53.538955
05_1a,900,15/02/2008 18:00,-38.646834,-53.477229
05_1a,900,15/02/2008 18:15,-38.776651,-53.448945
05_1a,900,15/02/2008 18:30,-38.878938,-53.512994
05_1a,900,15/02/2008 18:45,-38.998487,-53.555696
05_1a,900,15/02/2008 19:00,-39.079456,-53.662274
05_1a,900,15/02/2008 19:15,-39.119398,-53.749901
05_1a,900,15/02/2008 19:30,-39.151955,-53.825832
05_1a,900,15/02/2008 19:46,-39.143107,-53.820754
05_1a,900,15/02/2008 20:00,-39.147131,-53.825155
05_1a,900,15/02/2008 20:15,-39.194401,-53.844342
05_1a,900,15/02/2008 20:30,-39.324341,-53.889726
05_1a,900,15/02/2008 20:45,-39.437456,-53.9511
05_1a,900,15/02/2008 21:00,-39.566723,-53.985061
05_1a,900,15/02/2008 21:15,-39.71383,-54.027688
05_1a,900,15/02/2008 21:30,-39.808343,-54.114217
05_1a,900,15/02/2008 21:46,-39.910876,-54.220509
05_1a,900,15/02/2008 22:01,-39.910426,-54.278175
05_1a,900,15/02/2008 22:15,-39.955837,-54.367506
05_1a,900,15/02/2008 22:30,-40.091995,-54.472233
05_1a,900,15/02/2008 22:45,-40.211835,-54.561443
05_1a,900,15/02/2008 23:00,-40.282474,-54.646279
05_1a,900,15/02/2008 23:15,-40.379955,-54.752955
05_1a,900,15/02/2008 23:30,-40.459499,-54.852202
05_1a,900,15/02/2008 23:45,-40.568161,-54.950093
05_1a,900,16/02/2008 0:01,-40.639284,-55.018393
05_1a,900,16/02/2008 0:15,-40.636384,-55.017069
05_1a,900,16/02/2008 0:30,-40.63441,-55.015604
05_1a,900,16/02/2008 0:45,-40.632432,-55.013853
05_1a,900,16/02/2008 1:00,-40.629794,-55.011598
05_1a,900,16/02/2008 1:15,-40.627246,-55.009209
05_1a,900,16/02/2008 1:30,-40.625049,-55.006585
05_1a,900,16/02/2008 1:45,-40.623395,-55.004264
05_1a,900,16/02/2008 2:00,-40.621599,-55.001969
05_1a,900,16/02/2008 2:15,-40.620148,-54.999604
05_1a,900,16/02/2008 2:30,-40.618308,-54.99673
05_1a,900,16/02/2008 2:45,-40.617268,-54.994148
05_1a,900,16/02/2008 3:00,-40.615655,-54.99105
05_1a,900,16/02/2008 3:15,-40.614887,-54.988338
05_1a,900,16/02/2008 3:30,-40.614496,-54.985442
05_1a,900,16/02/2008 3:45,-40.614439,-54.983471
05_1a,900,16/02/2008 4:00,-40.614138,-54.981307
