START OF DATA	click_dophin	click_porpoise
19/06/2006  03:59	0	0	
19/06/2006  04:59	0	0	
19/06/2006  05:59	0	0	
19/06/2006  06:59	0	0	
19/06/2006  07:59	0	0	
19/06/2006  08:59	0	0	
19/06/2006  09:59	0	0	
19/06/2006  10:59	3	0	
19/06/2006  11:59	0	1	
19/06/2006  12:59	0	1	
19/06/2006  13:59	0	0	
19/06/2006  14:59	0	0	
19/06/2006  15:59	0	0	
19/06/2006  16:59	0	0	
19/06/2006  17:59	0	0	
19/06/2006  18:59	0	0	
19/06/2006  19:59	0	1	
19/06/2006  20:59	1	1	
19/06/2006  21:59	1	1	
19/06/2006  22:59	0	0	
19/06/2006  23:59	0	1	
20/06/2006  00:59	0	0	
20/06/2006  01:59	0	0	
20/06/2006  02:59	0	0	
20/06/2006  03:59	0	0	
20/06/2006  04:59	0	0	
20/06/2006  05:59	0	1	
20/06/2006  06:59	0	0	
20/06/2006  07:59	2	2	
20/06/2006  08:59	0	0	
20/06/2006  09:59	0	0	
20/06/2006  10:59	0	0	
20/06/2006  11:59	1	0	
20/06/2006  12:59	1	0	
20/06/2006  13:59	1	5	
20/06/2006  14:59	1	1	
20/06/2006  15:59	0	0	
20/06/2006  16:59	0	0	
20/06/2006  17:59	0	0	
20/06/2006  18:59	2	0	
20/06/2006  19:59	1	0	
20/06/2006  20:59	0	0	
20/06/2006  21:59	0	0	
20/06/2006  22:59	0	0	
20/06/2006  23:59	1	0	
21/06/2006  00:59	0	0	
21/06/2006  01:59	0	0	
21/06/2006  02:59	2	0	
21/06/2006  03:59	0	0	
21/06/2006  04:59	0	0	
21/06/2006  05:59	0	0	
21/06/2006  06:59	0	0	
21/06/2006  07:59	0	0	
21/06/2006  08:59	0	1	
21/06/2006  09:59	0	0	
21/06/2006  10:59	0	0	
21/06/2006  11:59	0	0	
21/06/2006  12:59	1	1	
21/06/2006  13:59	1	1	
21/06/2006  14:59	0	0	
21/06/2006  15:59	0	0	
21/06/2006  16:59	0	0	
21/06/2006  17:59	0	0	
21/06/2006  18:59	0	0	
21/06/2006  19:59	0	0	
21/06/2006  20:59	0	0	
21/06/2006  21:59	0	0	
21/06/2006  22:59	0	0	
21/06/2006  23:59	0	0	
22/06/2006  00:59	1	0	
22/06/2006  01:59	0	0	
22/06/2006  02:59	0	0	
22/06/2006  03:59	0	0	
22/06/2006  04:59	0	0	
22/06/2006  05:59	0	0	
22/06/2006  06:59	0	0	
22/06/2006  07:59	0	0	
22/06/2006  08:59	0	0	
22/06/2006  09:59	0	0	
22/06/2006  10:59	2	0	
22/06/2006  11:59	16	2	
22/06/2006  12:59	1	0	
22/06/2006  13:59	0	1	
22/06/2006  14:59	0	0	
22/06/2006  15:59	1	0	
22/06/2006  16:59	0	0	
22/06/2006  17:59	0	0	
22/06/2006  18:59	0	0	
22/06/2006  19:59	2	0	
22/06/2006  20:59	0	0	
22/06/2006  21:59	1	0	
22/06/2006  22:59	0	0	
22/06/2006  23:59	0	0	
23/06/2006  00:59	0	0	
23/06/2006  01:59	0	0	
23/06/2006  02:59	0	1	
23/06/2006  03:59	1	1	
23/06/2006  04:59	0	0	
23/06/2006  05:59	0	0	
23/06/2006  06:59	0	0	
23/06/2006  07:59	0	0	
23/06/2006  08:59	1	0	
23/06/2006  09:59	1	2	
23/06/2006  10:59	0	0	
23/06/2006  11:59	0	0	
23/06/2006  12:59	0	0	
23/06/2006  13:59	0	0	
23/06/2006  14:59	0	0	
23/06/2006  15:59	0	0	
23/06/2006  16:59	5	1	
23/06/2006  17:59	1	0	
23/06/2006  18:59	1	0	
23/06/2006  19:59	0	1	
23/06/2006  20:59	1	0	
23/06/2006  21:59	0	0	
23/06/2006  22:59	1	3	
23/06/2006  23:59	1	1	
24/06/2006  00:59	0	0	
24/06/2006  01:59	7	0	
24/06/2006  02:59	0	0	
24/06/2006  03:59	0	0	
24/06/2006  04:59	0	0	
24/06/2006  05:59	0	0	
24/06/2006  06:59	0	0	
24/06/2006  07:59	0	0	
24/06/2006  08:59	1	0	
24/06/2006  09:59	0	0	
24/06/2006  10:59	0	0	
24/06/2006  11:59	2	3	
24/06/2006  12:59	0	0	
24/06/2006  13:59	0	0	
24/06/2006  14:59	0	0	
24/06/2006  15:59	0	0	
24/06/2006  16:59	0	0	
24/06/2006  17:59	0	0	
24/06/2006  18:59	0	0	
24/06/2006  19:59	0	0	
24/06/2006  20:59	2	0	
24/06/2006  21:59	0	0	
24/06/2006  22:59	0	0	
24/06/2006  23:59	0	0	
25/06/2006  00:59	0	0	
25/06/2006  01:59	0	0	
25/06/2006  02:59	7	0	
25/06/2006  03:59	4	0	
25/06/2006  04:59	0	0	
25/06/2006  05:59	0	0	
25/06/2006  06:59	0	0	
25/06/2006  07:59	0	0	
25/06/2006  08:59	0	0	
25/06/2006  09:59	3	1	
25/06/2006  10:59	0	0	
25/06/2006  11:59	0	0	
25/06/2006  12:59	0	0	
25/06/2006  13:59	0	0	
25/06/2006  14:59	0	0	
25/06/2006  15:59	0	0	
25/06/2006  16:59	0	0	
25/06/2006  17:59	0	0	
25/06/2006  18:59	0	0	
25/06/2006  19:59	0	0	
25/06/2006  20:59	0	0	
25/06/2006  21:59	0	0	
25/06/2006  22:59	0	0	
25/06/2006  23:59	0	0	
26/06/2006  00:59	0	0	
26/06/2006  01:59	1	0	
26/06/2006  02:59	0	0	
26/06/2006  03:59	10	2	
26/06/2006  04:59	4	0	
26/06/2006  05:59	0	0	
26/06/2006  06:59	2	0	
26/06/2006  07:59	0	0	
26/06/2006  08:59	0	0	
26/06/2006  09:59	0	1	
26/06/2006  10:59	2	0	
26/06/2006  11:59	0	0	
26/06/2006  12:59	0	0	
26/06/2006  13:59	0	0	
26/06/2006  14:59	0	0	
26/06/2006  15:59	0	0	
26/06/2006  16:59	0	0	
26/06/2006  17:59	0	0	
26/06/2006  18:59	0	0	
26/06/2006  19:59	2	1	
26/06/2006  20:59	1	1	
26/06/2006  21:59	0	0	
26/06/2006  22:59	0	0	
26/06/2006  23:59	0	0	
27/06/2006  00:59	0	0	
27/06/2006  01:59	0	0	
27/06/2006  02:59	1	0	
27/06/2006  03:59	0	0	
27/06/2006  04:59	0	0	
27/06/2006  05:59	0	0	
27/06/2006  06:59	0	0	
27/06/2006  07:59	0	0	
27/06/2006  08:59	0	0	
27/06/2006  09:59	1	0	
27/06/2006  10:59	0	0	
27/06/2006  11:59	1	2	
27/06/2006  12:59	0	0	
27/06/2006  13:59	0	0	
27/06/2006  14:59	0	0	
27/06/2006  15:59	2	0	
27/06/2006  16:59	1	0	
27/06/2006  17:59	0	0	
27/06/2006  18:59	0	0	
27/06/2006  19:59	0	0	
27/06/2006  20:59	0	0	
27/06/2006  21:59	3	0	
27/06/2006  22:59	3	0	
27/06/2006  23:59	0	0	
28/06/2006  00:59	2	0	
28/06/2006  01:59	0	0	
28/06/2006  02:59	2	2	
28/06/2006  03:59	11	0	
28/06/2006  04:59	0	0	
28/06/2006  05:59	1	0	
28/06/2006  06:59	4	1	
28/06/2006  07:59	0	2	
28/06/2006  08:59	0	0	
28/06/2006  09:59	0	0	
28/06/2006  10:59	3	0	
28/06/2006  11:59	1	0	
28/06/2006  12:59	1	0	
28/06/2006  13:59	0	0	
28/06/2006  14:59	0	0	
28/06/2006  15:59	0	1	
28/06/2006  16:59	1	0	
28/06/2006  17:59	0	0	
28/06/2006  18:59	0	0	
28/06/2006  19:59	0	0	
28/06/2006  20:59	0	0	
28/06/2006  21:59	0	0	
28/06/2006  22:59	1	0	
28/06/2006  23:59	0	0	
29/06/2006  00:59	0	0	
29/06/2006  01:59	1	0	
29/06/2006  02:59	1	2	
29/06/2006  03:59	0	0	
29/06/2006  04:59	0	0	
29/06/2006  05:59	0	0	
29/06/2006  06:59	0	0	
29/06/2006  07:59	0	1	
29/06/2006  08:59	1	4	
29/06/2006  09:59	0	0	
29/06/2006  10:59	0	0	
29/06/2006  11:59	0	0	
29/06/2006  12:59	0	0	
29/06/2006  13:59	0	0	
29/06/2006  14:59	0	0	
29/06/2006  15:59	0	0	
29/06/2006  16:59	0	0	
29/06/2006  17:59	0	0	
29/06/2006  18:59	0	0	
29/06/2006  19:59	8	0	
29/06/2006  20:59	2	1	
29/06/2006  21:59	0	0	
29/06/2006  22:59	0	0	
29/06/2006  23:59	0	0	
30/06/2006  00:59	1	0	
30/06/2006  01:59	3	0	
30/06/2006  02:59	0	0	
30/06/2006  03:59	4	1	
30/06/2006  04:59	0	0	
30/06/2006  05:59	0	1	
30/06/2006  06:59	1	0	
30/06/2006  07:59	0	0	
30/06/2006  08:59	5	2	
30/06/2006  09:59	4	3	
30/06/2006  10:59	0	0	
30/06/2006  11:59	0	0	
30/06/2006  12:59	0	0	
30/06/2006  13:59	0	0	
30/06/2006  14:59	0	0	
30/06/2006  15:59	0	0	
30/06/2006  16:59	0	0	
30/06/2006  17:59	0	0	
30/06/2006  18:59	1	0	
30/06/2006  19:59	0	0	
30/06/2006  20:59	0	0	
30/06/2006  21:59	0	0	
30/06/2006  22:59	0	0	
30/06/2006  23:59	0	0	
1/07/2006  00:59	0	0	
1/07/2006  01:59	0	0	
1/07/2006  02:59	0	0	
1/07/2006  03:59	0	0	
1/07/2006  04:59	2	2	
1/07/2006  05:59	0	0	
1/07/2006  06:59	0	0	
1/07/2006  07:59	0	0	
1/07/2006  08:59	0	0	
1/07/2006  09:59	0	0	
1/07/2006  10:59	0	0	
1/07/2006  11:59	1	0	
1/07/2006  12:59	0	0	
1/07/2006  13:59	0	0	
1/07/2006  14:59	0	0	
1/07/2006  15:59	0	0	
1/07/2006  16:59	0	0	
1/07/2006  17:59	0	0	
1/07/2006  18:59	0	0	
1/07/2006  19:59	4	0	
1/07/2006  20:59	0	0	
1/07/2006  21:59	1	0	
1/07/2006  22:59	0	0	
1/07/2006  23:59	0	0	
2/07/2006  00:59	1	2	
2/07/2006  01:59	0	1	
2/07/2006  02:59	1	2	
2/07/2006  03:59	4	2	
2/07/2006  04:59	0	0	
2/07/2006  05:59	0	0	
2/07/2006  06:59	4	0	
2/07/2006  07:59	9	3	
2/07/2006  08:59	0	0	
2/07/2006  09:59	0	2	
2/07/2006  10:59	0	1	
2/07/2006  11:59	0	0	
2/07/2006  12:59	0	0	
2/07/2006  13:59	0	0	
2/07/2006  14:59	0	0	
2/07/2006  15:59	0	0	
2/07/2006  16:59	1	0	
2/07/2006  17:59	0	0	
2/07/2006  18:59	0	0	
2/07/2006  19:59	1	0	
2/07/2006  20:59	0	0	
2/07/2006  21:59	0	0	
2/07/2006  22:59	0	0	
2/07/2006  23:59	0	0	
3/07/2006  00:59	0	0	
3/07/2006  01:59	0	0	
3/07/2006  02:59	0	0	
3/07/2006  03:59	0	0	
3/07/2006  04:59	0	0	
3/07/2006  05:59	0	0	
3/07/2006  06:59	0	0	
3/07/2006  07:59	1	0	
3/07/2006  08:59	0	0	
3/07/2006  09:59	0	0	
3/07/2006  10:59	1	4	
3/07/2006  11:59	1	0	
3/07/2006  12:59	2	1	
3/07/2006  13:59	0	3	
3/07/2006  14:59	0	0	
3/07/2006  15:59	0	0	
3/07/2006  16:59	0	0	
3/07/2006  17:59	0	0	
3/07/2006  18:59	2	0	
3/07/2006  19:59	1	1	
3/07/2006  20:59	0	0	
3/07/2006  21:59	0	0	
3/07/2006  22:59	1	2	
3/07/2006  23:59	3	2	
4/07/2006  00:59	0	0	
4/07/2006  01:59	0	0	
4/07/2006  02:59	0	0	
4/07/2006  03:59	1	1	
4/07/2006  04:59	0	0	
4/07/2006  05:59	0	0	
4/07/2006  06:59	0	1	
4/07/2006  07:59	0	0	
4/07/2006  08:59	0	0	
4/07/2006  09:59	0	0	
4/07/2006  10:59	0	0	
4/07/2006  11:59	0	0	
4/07/2006  12:59	0	0	
4/07/2006  13:59	0	0	
4/07/2006  14:59	0	0	
4/07/2006  15:59	0	0	
4/07/2006  16:59	0	0	
4/07/2006  17:59	0	0	
4/07/2006  18:59	0	0	
4/07/2006  19:59	0	0	
4/07/2006  20:59	0	0	
4/07/2006  21:59	0	0	
4/07/2006  22:59	0	0	
4/07/2006  23:59	0	0	
5/07/2006  00:59	0	0	
5/07/2006  01:59	0	0	
5/07/2006  02:59	0	0	
5/07/2006  03:59	1	0	
5/07/2006  04:59	0	0	
5/07/2006  05:59	0	0	
5/07/2006  06:59	0	0	
5/07/2006  07:59	0	0	
5/07/2006  08:59	3	1	
5/07/2006  09:59	0	0	
5/07/2006  10:59	0	0	
5/07/2006  11:59	0	0	
5/07/2006  12:59	0	1	
5/07/2006  13:59	0	0	
5/07/2006  14:59	0	0	
5/07/2006  15:59	0	0	
5/07/2006  16:59	0	1	
5/07/2006  17:59	0	0	
5/07/2006  18:59	0	0	
5/07/2006  19:59	0	0	
5/07/2006  20:59	1	0	
5/07/2006  21:59	0	0	
5/07/2006  22:59	0	0	
5/07/2006  23:59	1	0	
6/07/2006  00:59	2	2	
6/07/2006  01:59	1	3	
6/07/2006  02:59	0	0	
6/07/2006  03:59	0	0	
6/07/2006  04:59	0	0	
6/07/2006  05:59	0	0	
6/07/2006  06:59	0	0	
6/07/2006  07:59	0	0	
6/07/2006  08:59	0	0	
6/07/2006  09:59	0	0	
6/07/2006  10:59	1	0	
6/07/2006  11:59	3	0	
6/07/2006  12:59	3	5	
6/07/2006  13:59	0	1	
6/07/2006  14:59	0	0	
6/07/2006  15:59	0	0	
6/07/2006  16:59	0	0	
6/07/2006  17:59	0	0	
6/07/2006  18:59	0	0	
6/07/2006  19:59	0	0	
6/07/2006  20:59	0	0	
6/07/2006  21:59	0	0	
6/07/2006  22:59	0	0	
6/07/2006  23:59	3	0	
7/07/2006  00:59	3	1	
7/07/2006  01:59	0	0	
7/07/2006  02:59	0	0	
7/07/2006  03:59	0	0	
7/07/2006  04:59	0	0	
7/07/2006  05:59	0	0	
7/07/2006  06:59	0	0	
7/07/2006  07:59	0	0	
7/07/2006  08:59	0	0	
7/07/2006  09:59	0	0	
7/07/2006  10:59	0	0	
7/07/2006  11:59	0	0	
7/07/2006  12:59	0	0	
7/07/2006  13:59	0	1	
7/07/2006  14:59	0	0	
7/07/2006  15:59	0	0	
7/07/2006  16:59	0	0	
7/07/2006  17:59	0	1	
7/07/2006  18:59	1	2	
7/07/2006  19:59	1	0	
7/07/2006  20:59	0	0	
7/07/2006  21:59	0	0	
7/07/2006  22:59	0	0	
7/07/2006  23:59	0	0	
8/07/2006  00:59	0	0	
8/07/2006  01:59	0	0	
8/07/2006  02:59	0	0	
8/07/2006  03:59	0	0	
8/07/2006  04:59	0	0	
8/07/2006  05:59	0	0	
8/07/2006  06:59	0	0	
8/07/2006  07:59	0	0	
8/07/2006  08:59	0	0	
8/07/2006  09:59	0	0	
8/07/2006  10:59	0	0	
8/07/2006  11:59	0	0	
8/07/2006  12:59	0	0	
8/07/2006  13:59	0	0	
8/07/2006  14:59	0	0	
8/07/2006  15:59	0	0	
8/07/2006  16:59	0	0	
8/07/2006  17:59	0	0	
8/07/2006  18:59	0	0	
8/07/2006  19:59	0	0	
8/07/2006  20:59	0	0	
8/07/2006  21:59	0	0	
8/07/2006  22:59	0	0	
8/07/2006  23:59	0	0	
9/07/2006  00:59	6	0	
9/07/2006  01:59	0	0	
9/07/2006  02:59	0	0	
9/07/2006  03:59	0	0	
9/07/2006  04:59	0	0	
9/07/2006  05:59	0	0	
9/07/2006  06:59	0	0	
9/07/2006  07:59	0	0	
9/07/2006  08:59	0	0	
9/07/2006  09:59	0	0	
9/07/2006  10:59	0	0	
9/07/2006  11:59	2	5	
9/07/2006  12:59	8	3	
9/07/2006  13:59	7	3	
9/07/2006  14:59	4	0	
9/07/2006  15:59	0	0	
9/07/2006  16:59	0	0	
9/07/2006  17:59	0	1	
9/07/2006  18:59	0	0	
9/07/2006  19:59	0	0	
9/07/2006  20:59	0	0	
9/07/2006  21:59	0	0	
9/07/2006  22:59	0	0	
9/07/2006  23:59	0	0	
10/07/2006  00:59	3	0	
10/07/2006  01:59	6	1	
10/07/2006  02:59	1	0	
10/07/2006  03:59	1	0	
10/07/2006  04:59	0	0	
10/07/2006  05:59	0	0	
10/07/2006  06:59	0	0	
10/07/2006  07:59	0	0	
10/07/2006  08:59	4	0	
10/07/2006  09:59	0	0	
10/07/2006  10:59	0	0	
10/07/2006  11:59	0	0	
10/07/2006  12:59	0	0	
10/07/2006  13:59	0	0	
10/07/2006  14:59	1	2	
10/07/2006  15:59	0	0	
10/07/2006  16:59	0	0	
10/07/2006  17:59	0	1	
10/07/2006  18:59	1	0	
10/07/2006  19:59	0	0	
10/07/2006  20:59	0	0	
10/07/2006  21:59	0	0	
10/07/2006  22:59	0	0	
10/07/2006  23:59	0	0	
11/07/2006  00:59	0	0	
11/07/2006  01:59	2	0	
11/07/2006  02:59	0	0	
11/07/2006  03:59	0	0	
11/07/2006  04:59	0	0	
11/07/2006  05:59	0	0	
11/07/2006  06:59	0	0	
11/07/2006  07:59	0	0	
11/07/2006  08:59	0	0	
11/07/2006  09:59	1	0	
11/07/2006  10:59	0	0	
11/07/2006  11:59	0	0	
11/07/2006  12:59	0	0	
11/07/2006  13:59	0	0	
11/07/2006  14:59	0	0	
11/07/2006  15:59	0	0	
11/07/2006  16:59	2	0	
11/07/2006  17:59	1	0	
11/07/2006  18:59	0	0	
11/07/2006  19:59	0	0	
11/07/2006  20:59	1	0	
11/07/2006  21:59	0	0	
11/07/2006  22:59	0	0	
11/07/2006  23:59	0	0	
12/07/2006  00:59	0	0	
12/07/2006  01:59	0	0	
12/07/2006  02:59	4	0	
12/07/2006  03:59	3	0	
12/07/2006  04:59	0	0	
12/07/2006  05:59	0	0	
12/07/2006  06:59	0	0	
12/07/2006  07:59	1	0	
12/07/2006  08:59	0	0	
12/07/2006  09:59	8	0	
12/07/2006  10:59	3	0	
12/07/2006  11:59	0	0	
12/07/2006  12:59	1	0	
12/07/2006  13:59	0	1	
12/07/2006  14:59	0	0	
12/07/2006  15:59	0	0	
12/07/2006  16:59	0	0	
12/07/2006  17:59	0	0	
12/07/2006  18:59	0	0	
12/07/2006  19:59	0	0	
12/07/2006  20:59	0	0	
12/07/2006  21:59	0	0	
12/07/2006  22:59	0	0	
12/07/2006  23:59	1	1	
13/07/2006  00:59	0	0	
13/07/2006  01:59	0	0	
13/07/2006  02:59	0	0	
13/07/2006  03:59	4	0	
13/07/2006  04:59	0	0	
13/07/2006  05:59	0	0	
13/07/2006  06:59	1	2	
13/07/2006  07:59	0	0	
13/07/2006  08:59	0	0	
13/07/2006  09:59	0	0	
13/07/2006  10:59	0	0	
13/07/2006  11:59	1	0	
13/07/2006  12:59	0	0	
13/07/2006  13:59	0	0	
13/07/2006  14:59	0	0	
13/07/2006  15:59	0	0	
13/07/2006  16:59	0	0	
13/07/2006  17:59	1	0	
13/07/2006  18:59	0	0	
13/07/2006  19:59	0	1	
13/07/2006  20:59	0	0	
13/07/2006  21:59	0	0	
13/07/2006  22:59	0	0	
13/07/2006  23:59	4	1	
14/07/2006  00:59	0	1	
14/07/2006  01:59	0	0	
14/07/2006  02:59	0	0	
14/07/2006  03:59	0	0	
14/07/2006  04:59	0	0	
14/07/2006  05:59	0	0	
14/07/2006  06:59	0	0	
14/07/2006  07:59	0	0	
14/07/2006  08:59	0	0	
14/07/2006  09:59	0	0	
14/07/2006  10:59	0	0	
14/07/2006  11:59	0	0	
14/07/2006  12:59	0	0	
14/07/2006  13:59	0	0	
14/07/2006  14:59	0	0	
14/07/2006  15:59	0	0	
14/07/2006  16:59	5	0	
14/07/2006  17:59	3	0	
14/07/2006  18:59	3	1	
14/07/2006  19:59	0	0	
14/07/2006  20:59	0	0	
14/07/2006  21:59	0	0	
14/07/2006  22:59	0	0	
14/07/2006  23:59	1	2	
15/07/2006  00:59	0	0	
15/07/2006  01:59	0	1	
15/07/2006  02:59	0	0	
15/07/2006  03:59	0	0	
15/07/2006  04:59	0	0	
15/07/2006  05:59	0	0	
15/07/2006  06:59	0	0	
15/07/2006  07:59	0	0	
15/07/2006  08:59	0	0	
15/07/2006  09:59	0	0	
15/07/2006  10:59	0	0	
15/07/2006  11:59	0	0	
15/07/2006  12:59	0	0	
15/07/2006  13:59	0	0	
15/07/2006  14:59	0	0	
15/07/2006  15:59	2	1	
15/07/2006  16:59	0	0	
15/07/2006  17:59	0	0	
15/07/2006  18:59	0	0	
15/07/2006  19:59	0	0	
15/07/2006  20:59	0	0	
15/07/2006  21:59	0	0	
15/07/2006  22:59	0	0	
15/07/2006  23:59	0	0	
16/07/2006  00:59	0	0	
16/07/2006  01:59	0	0	
16/07/2006  02:59	0	0	
16/07/2006  03:59	0	0	
16/07/2006  04:59	0	0	
16/07/2006  05:59	0	0	
16/07/2006  06:59	0	0	
16/07/2006  07:59	0	0	
16/07/2006  08:59	0	0	
16/07/2006  09:59	0	0	
16/07/2006  10:59	0	0	
16/07/2006  11:59	0	0	
16/07/2006  12:59	0	0	
16/07/2006  13:59	0	0	
16/07/2006  14:59	0	0	
16/07/2006  15:59	0	0	
16/07/2006  16:59	0	0	
16/07/2006  17:59	0	0	
16/07/2006  18:59	0	0	
16/07/2006  19:59	0	0	
16/07/2006  20:59	0	0	
16/07/2006  21:59	3	2	
16/07/2006  22:59	0	0	
16/07/2006  23:59	0	0	
17/07/2006  00:59	0	0	
17/07/2006  01:59	4	0	
17/07/2006  02:59	2	0	
17/07/2006  03:59	0	0	
17/07/2006  04:59	0	0	
17/07/2006  05:59	0	0	
17/07/2006  06:59	0	0	
17/07/2006  07:59	0	0	
17/07/2006  08:59	0	0	
17/07/2006  09:59	0	0	
17/07/2006  10:59	2	3	
17/07/2006  11:59	0	0	
17/07/2006  12:59	0	0	
17/07/2006  13:59	0	0	
17/07/2006  14:59	1	0	
17/07/2006  15:59	3	0	
17/07/2006  16:59	0	0	
17/07/2006  17:59	0	0	
17/07/2006  18:59	0	0	
17/07/2006  19:59	0	0	
17/07/2006  20:59	0	0	
17/07/2006  21:59	0	0	
17/07/2006  22:59	0	0	
17/07/2006  23:59	1	0	
18/07/2006  00:59	0	0	
18/07/2006  01:59	1	0	
18/07/2006  02:59	1	0	
18/07/2006  03:59	0	0	
18/07/2006  04:59	0	0	
18/07/2006  05:59	0	0	
18/07/2006  06:59	0	0	
18/07/2006  07:59	0	0	
18/07/2006  08:59	0	0	
18/07/2006  09:59	3	0	
18/07/2006  10:59	0	0	
18/07/2006  11:59	0	0	
18/07/2006  12:59	0	0	
18/07/2006  13:59	0	0	
18/07/2006  14:59	0	0	
18/07/2006  15:59	0	0	
18/07/2006  16:59	0	0	
18/07/2006  17:59	0	0	
18/07/2006  18:59	0	0	
18/07/2006  19:59	0	1	
18/07/2006  20:59	0	0	
18/07/2006  21:59	11	3	
18/07/2006  22:59	1	0	
18/07/2006  23:59	0	0	
19/07/2006  00:59	0	0	
19/07/2006  01:59	0	0	
19/07/2006  02:59	0	0	
19/07/2006  03:59	0	0	
19/07/2006  04:59	0	0	
19/07/2006  05:59	1	1	
19/07/2006  06:59	0	0	
19/07/2006  07:59	0	0	
19/07/2006  08:59	0	0	
19/07/2006  09:59	0	0	
19/07/2006  10:59	0	0	
19/07/2006  11:59	0	0	
19/07/2006  12:59	0	0	
19/07/2006  13:59	3	2	
19/07/2006  14:59	3	3	
19/07/2006  15:59	2	3	
19/07/2006  16:59	1	1	
19/07/2006  17:59	0	0	
19/07/2006  18:59	0	0	
19/07/2006  19:59	0	0	
19/07/2006  20:59	0	0	
19/07/2006  21:59	0	0	
19/07/2006  22:59	0	0	
19/07/2006  23:59	0	0	
20/07/2006  00:59	0	0	
20/07/2006  01:59	0	0	
20/07/2006  02:59	0	0	
20/07/2006  03:59	0	0	
20/07/2006  04:59	0	0	
20/07/2006  05:59	0	0	
20/07/2006  06:59	1	0	
20/07/2006  07:59	0	0	
20/07/2006  08:59	0	0	
20/07/2006  09:59	0	0	
20/07/2006  10:59	0	0	
20/07/2006  11:59	1	0	
20/07/2006  12:59	0	0	
20/07/2006  13:59	0	0	
20/07/2006  14:59	0	0	
20/07/2006  15:59	0	0	
