START OF DATA	click_dophin	click_porpoise
14/06/2006  08:59	0	0	
14/06/2006  09:59	0	0	
14/06/2006  10:59	0	0	
14/06/2006  11:59	0	0	
14/06/2006  12:59	0	0	
14/06/2006  13:59	0	0	
14/06/2006  14:59	0	0	
14/06/2006  15:59	0	0	
14/06/2006  16:59	0	0	
14/06/2006  17:59	0	0	
14/06/2006  18:59	0	0	
14/06/2006  19:59	0	0	
14/06/2006  20:59	0	0	
14/06/2006  21:59	0	0	
14/06/2006  22:59	0	0	
14/06/2006  23:59	0	0	
15/06/2006  00:59	0	0	
15/06/2006  01:59	0	0	
15/06/2006  02:59	0	0	
15/06/2006  03:59	0	0	
15/06/2006  04:59	0	0	
15/06/2006  05:59	0	0	
15/06/2006  06:59	0	0	
15/06/2006  07:59	0	0	
15/06/2006  08:59	0	0	
15/06/2006  09:59	0	0	
15/06/2006  10:59	0	0	
15/06/2006  11:59	0	0	
15/06/2006  12:59	2	0	
15/06/2006  13:59	1	0	
15/06/2006  14:59	0	0	
15/06/2006  15:59	2	0	
15/06/2006  16:59	0	0	
15/06/2006  17:59	9	1	
15/06/2006  18:59	6	0	
15/06/2006  19:59	0	0	
15/06/2006  20:59	3	3	
15/06/2006  21:59	0	0	
15/06/2006  22:59	0	0	
15/06/2006  23:59	0	0	
16/06/2006  00:59	0	0	
16/06/2006  01:59	0	0	
16/06/2006  02:59	0	0	
16/06/2006  03:59	1	0	
16/06/2006  04:59	2	0	
16/06/2006  05:59	20	2	
16/06/2006  06:59	8	0	
16/06/2006  07:59	0	2	
16/06/2006  08:59	1	1	
16/06/2006  09:59	4	2	
16/06/2006  10:59	0	7	
16/06/2006  11:59	4	2	
16/06/2006  12:59	0	0	
16/06/2006  13:59	0	0	
16/06/2006  14:59	0	1	
16/06/2006  15:59	0	1	
16/06/2006  16:59	0	0	
16/06/2006  17:59	0	0	
16/06/2006  18:59	3	0	
16/06/2006  19:59	0	0	
16/06/2006  20:59	0	1	
16/06/2006  21:59	1	0	
16/06/2006  22:59	0	0	
16/06/2006  23:59	0	0	
17/06/2006  00:59	0	0	
17/06/2006  01:59	0	0	
17/06/2006  02:59	0	0	
17/06/2006  03:59	0	2	
17/06/2006  04:59	2	1	
17/06/2006  05:59	6	1	
17/06/2006  06:59	6	0	
17/06/2006  07:59	10	1	
17/06/2006  08:59	1	0	
17/06/2006  09:59	0	0	
17/06/2006  10:59	4	2	
17/06/2006  11:59	0	4	
17/06/2006  12:59	0	0	
17/06/2006  13:59	0	0	
17/06/2006  14:59	0	0	
17/06/2006  15:59	0	0	
17/06/2006  16:59	0	0	
17/06/2006  17:59	0	0	
17/06/2006  18:59	3	0	
17/06/2006  19:59	1	0	
17/06/2006  20:59	0	0	
17/06/2006  21:59	0	0	
17/06/2006  22:59	0	0	
17/06/2006  23:59	0	0	
18/06/2006  00:59	0	0	
18/06/2006  01:59	0	0	
18/06/2006  02:59	0	0	
18/06/2006  03:59	0	0	
18/06/2006  04:59	0	0	
18/06/2006  05:59	0	0	
18/06/2006  06:59	0	0	
18/06/2006  07:59	3	0	
18/06/2006  08:59	0	0	
18/06/2006  09:59	0	0	
18/06/2006  10:59	0	0	
18/06/2006  11:59	0	0	
18/06/2006  12:59	2	0	
18/06/2006  13:59	0	1	
18/06/2006  14:59	0	0	
18/06/2006  15:59	2	1	
18/06/2006  16:59	0	1	
18/06/2006  17:59	0	0	
18/06/2006  18:59	0	0	
18/06/2006  19:59	0	0	
18/06/2006  20:59	0	0	
18/06/2006  21:59	0	0	
18/06/2006  22:59	0	1	
18/06/2006  23:59	0	0	
19/06/2006  00:59	0	0	
19/06/2006  01:59	0	0	
19/06/2006  02:59	0	0	
