TRACKID,RESOLUTION,TIME_DATE,LON,LAT
05_1b,1,15/02/2008 14:14,-38.054069,-54.007139
05_1b,1,15/02/2008 14:14,-38.054143,-54.007121
05_1b,1,15/02/2008 14:14,-38.054357,-54.007114
05_1b,1,15/02/2008 14:14,-38.054375,-54.007122
05_1b,1,15/02/2008 14:14,-38.054323,-54.00714
05_1b,1,15/02/2008 14:14,-38.054218,-54.007212
05_1b,1,15/02/2008 14:14,-38.054197,-54.007303
05_1b,1,15/02/2008 14:14,-38.054304,-54.007347
05_1b,1,15/02/2008 14:14,-38.054422,-54.007355
05_1b,1,15/02/2008 14:14,-38.054538,-54.007319
05_1b,1,15/02/2008 14:14,-38.054654,-54.007268
05_1b,1,15/02/2008 14:14,-38.054778,-54.00722
05_1b,1,15/02/2008 14:14,-38.054913,-54.007197
05_1b,1,15/02/2008 14:14,-38.0551,-54.007177
05_1b,1,15/02/2008 14:14,-38.055244,-54.007169
05_1b,1,15/02/2008 14:14,-38.055375,-54.007181
05_1b,1,15/02/2008 14:14,-38.055465,-54.00721
05_1b,1,15/02/2008 14:14,-38.055402,-54.007285
05_1b,1,15/02/2008 14:14,-38.055327,-54.007359
05_1b,1,15/02/2008 14:14,-38.055204,-54.007418
05_1b,1,15/02/2008 14:14,-38.05506,-54.007462
05_1b,1,15/02/2008 14:14,-38.054868,-54.007458
05_1b,1,15/02/2008 14:14,-38.054671,-54.007427
05_1b,1,15/02/2008 14:14,-38.054487,-54.007362
05_1b,1,15/02/2008 14:14,-38.05566,-54.007159
05_1b,1,15/02/2008 14:14,-38.055496,-54.007223
05_1b,1,15/02/2008 14:14,-38.055318,-54.007261
05_1b,1,15/02/2008 14:14,-38.055116,-54.007294
05_1b,1,15/02/2008 14:14,-38.054898,-54.007344
05_1b,1,15/02/2008 14:14,-38.054729,-54.007471
05_1b,1,15/02/2008 14:14,-38.054662,-54.007568
05_1b,1,15/02/2008 14:14,-38.054723,-54.007693
05_1b,1,15/02/2008 14:14,-38.054851,-54.007805
05_1b,1,15/02/2008 14:14,-38.054991,-54.007903
05_1b,1,15/02/2008 14:14,-38.055136,-54.007987
05_1b,1,15/02/2008 14:15,-38.055323,-54.008029
05_1b,1,15/02/2008 14:15,-38.055529,-54.008021
05_1b,1,15/02/2008 14:15,-38.05572,-54.008041
05_1b,1,15/02/2008 14:15,-38.055871,-54.008093
05_1b,1,15/02/2008 14:15,-38.055947,-54.008216
05_1b,1,15/02/2008 14:15,-38.05603,-54.008317
05_1b,1,15/02/2008 14:15,-38.056149,-54.008391
05_1b,1,15/02/2008 14:15,-38.056328,-54.008394
05_1b,1,15/02/2008 14:15,-38.056504,-54.008394
05_1b,1,15/02/2008 14:15,-38.056678,-54.008384
05_1b,1,15/02/2008 14:15,-38.056851,-54.008373
05_1b,1,15/02/2008 14:15,-38.057008,-54.008408
05_1b,1,15/02/2008 14:15,-38.057075,-54.008479
05_1b,1,15/02/2008 14:15,-38.057045,-54.008565
05_1b,1,15/02/2008 14:15,-38.057025,-54.008663
05_1b,1,15/02/2008 14:15,-38.057034,-54.008773
05_1b,1,15/02/2008 14:15,-38.057073,-54.008873
05_1b,1,15/02/2008 14:15,-38.057173,-54.008937
05_1b,1,15/02/2008 14:15,-38.057322,-54.008996
05_1b,1,15/02/2008 14:15,-38.057476,-54.009033
05_1b,1,15/02/2008 14:15,-38.057642,-54.009041
05_1b,1,15/02/2008 14:15,-38.057813,-54.009023
05_1b,1,15/02/2008 14:15,-38.057987,-54.008983
05_1b,1,15/02/2008 14:15,-38.058166,-54.008905
05_1b,1,15/02/2008 14:15,-38.058341,-54.008824
05_1b,1,15/02/2008 14:15,-38.058519,-54.008749
05_1b,1,15/02/2008 14:15,-38.058705,-54.008688
05_1b,1,15/02/2008 14:15,-38.058901,-54.008675
05_1b,1,15/02/2008 14:15,-38.059093,-54.008667
05_1b,1,15/02/2008 14:15,-38.059253,-54.00868
05_1b,1,15/02/2008 14:15,-38.059404,-54.00867
05_1b,1,15/02/2008 14:15,-38.059551,-54.008644
05_1b,1,15/02/2008 14:15,-38.059707,-54.008632
05_1b,1,15/02/2008 14:15,-38.059863,-54.008641
05_1b,1,15/02/2008 14:15,-38.060011,-54.008665
05_1b,1,15/02/2008 14:15,-38.060153,-54.008703
05_1b,1,15/02/2008 14:15,-38.060293,-54.008747
05_1b,1,15/02/2008 14:15,-38.060431,-54.008802
05_1b,1,15/02/2008 14:15,-38.060568,-54.008849
05_1b,1,15/02/2008 14:15,-38.060703,-54.008898
05_1b,1,15/02/2008 14:15,-38.060839,-54.008947
05_1b,1,15/02/2008 14:15,-38.060974,-54.009
05_1b,1,15/02/2008 14:15,-38.061116,-54.009048
05_1b,1,15/02/2008 14:15,-38.061291,-54.009032
05_1b,1,15/02/2008 14:15,-38.061439,-54.009061
05_1b,1,15/02/2008 14:15,-38.061571,-54.009101
05_1b,1,15/02/2008 14:15,-38.061698,-54.009142
05_1b,1,15/02/2008 14:15,-38.061826,-54.009188
05_1b,1,15/02/2008 14:15,-38.061944,-54.00924
05_1b,1,15/02/2008 14:15,-38.062033,-54.009295
05_1b,1,15/02/2008 14:15,-38.062072,-54.009361
05_1b,1,15/02/2008 14:15,-38.062107,-54.009416
05_1b,1,15/02/2008 14:15,-38.062154,-54.009476
05_1b,1,15/02/2008 14:15,-38.062228,-54.009537
05_1b,1,15/02/2008 14:15,-38.062331,-54.009593
05_1b,1,15/02/2008 14:15,-38.062444,-54.009652
05_1b,1,15/02/2008 14:15,-38.062544,-54.009717
05_1b,1,15/02/2008 14:15,-38.062592,-54.009793
05_1b,1,15/02/2008 14:15,-38.062613,-54.009878
05_1b,1,15/02/2008 14:15,-38.062624,-54.009958
05_1b,1,15/02/2008 14:16,-38.062593,-54.010035
05_1b,1,15/02/2008 14:16,-38.062533,-54.010105
05_1b,1,15/02/2008 14:16,-38.062452,-54.010167
05_1b,1,15/02/2008 14:16,-38.062362,-54.010234
05_1b,1,15/02/2008 14:16,-38.062258,-54.010291
05_1b,1,15/02/2008 14:16,-38.06213,-54.010328
05_1b,1,15/02/2008 14:16,-38.062019,-54.010363
05_1b,1,15/02/2008 14:16,-38.061935,-54.010427
05_1b,1,15/02/2008 14:16,-38.061944,-54.010513
05_1b,1,15/02/2008 14:16,-38.062039,-54.010584
05_1b,1,15/02/2008 14:16,-38.062176,-54.010645
05_1b,1,15/02/2008 14:16,-38.062346,-54.01068
05_1b,1,15/02/2008 14:16,-38.062527,-54.010696
05_1b,1,15/02/2008 14:16,-38.062708,-54.010712
05_1b,1,15/02/2008 14:16,-38.062872,-54.010744
05_1b,1,15/02/2008 14:16,-38.063034,-54.010792
05_1b,1,15/02/2008 14:16,-38.063171,-54.010851
05_1b,1,15/02/2008 14:16,-38.063248,-54.01092
05_1b,1,15/02/2008 14:16,-38.063303,-54.010993
05_1b,1,15/02/2008 14:16,-38.063319,-54.01108
05_1b,1,15/02/2008 14:16,-38.063352,-54.011167
05_1b,1,15/02/2008 14:16,-38.063419,-54.011258
05_1b,1,15/02/2008 14:16,-38.063509,-54.011344
05_1b,1,15/02/2008 14:16,-38.063608,-54.011421
