RING,LAT,LON,LAT2,LON2,DATE_STR,TIME_STR,DATE_TIME,TRACKID,STAGE,SEX,ID
5143348,-54.00885,-38.04674,-53.17241,-37.35815,31/07/2004,11:50:00,31/07/2004 11:50,03015-7,Post-brood,F,1
5143348,-53.17241,-37.35815,-52.56738,-36.91886,31/07/2004,14:00:00,31/07/2004 14:00,03015-7,Post-brood,F,2
5143348,-52.56738,-36.91886,-51.95474,-36.53064,31/07/2004,15:00:00,31/07/2004 15:00,03015-7,Post-brood,F,3
5143348,-51.95474,-36.53064,-51.59476,-36.57274,31/07/2004,16:00:00,31/07/2004 16:00,03015-7,Post-brood,F,4
5143348,-51.59476,-36.57274,-51.48207,-36.84886,31/07/2004,17:00:00,31/07/2004 17:00,03015-7,Post-brood,F,5
5143348,-51.48207,-36.84886,-51.25153,-37.36571,31/07/2004,18:00:00,31/07/2004 18:00,03015-7,Post-brood,F,6
5143348,-51.25153,-37.36571,-50.92283,-37.80828,31/07/2004,19:00:00,31/07/2004 19:00,03015-7,Post-brood,F,7
5143348,-50.92283,-37.80828,-50.11588,-38.15185,31/07/2004,20:00:00,31/07/2004 20:00,03015-7,Post-brood,F,8
5143348,-50.11588,-38.15185,-49.70153,-38.14269,31/07/2004,22:00:00,31/07/2004 22:00,03015-7,Post-brood,F,9
5143348,-49.70153,-38.14269,-49.2634,-37.96968,31/07/2004,23:00:00,31/07/2004 23:00,03015-7,Post-brood,F,10
5143348,-49.2634,-37.96968,-49.02102,-37.803,01/08/2004,0:00:00,01/08/2004 0:00,03015-7,Post-brood,F,11
5143348,-49.02102,-37.803,-48.61187,-37.55493,01/08/2004,1:00:00,01/08/2004 1:00,03015-7,Post-brood,F,12
5143348,-48.61187,-37.55493,-48.15687,-37.20596,01/08/2004,2:00:00,01/08/2004 2:00,03015-7,Post-brood,F,13
5143348,-48.15687,-37.20596,-47.80923,-36.94549,01/08/2004,3:00:00,01/08/2004 3:00,03015-7,Post-brood,F,14
5143348,-47.80923,-36.94549,-47.42482,-36.67274,01/08/2004,4:00:00,01/08/2004 4:00,03015-7,Post-brood,F,15
5143348,-47.42482,-36.67274,-45.74975,-35.37157,01/08/2004,5:00:00,01/08/2004 5:00,03015-7,Post-brood,F,16
5143348,-45.74975,-35.37157,-45.4225,-35.13246,01/08/2004,10:00:00,01/08/2004 10:00,03015-7,Post-brood,F,17
5143348,-45.4225,-35.13246,-45.16543,-34.95821,01/08/2004,11:00:00,01/08/2004 11:00,03015-7,Post-brood,F,18
5143348,-45.16543,-34.95821,-44.9607,-34.76971,01/08/2004,12:00:00,01/08/2004 12:00,03015-7,Post-brood,F,19
5143348,-44.9607,-34.76971,-44.96891,-34.74552,01/08/2004,14:00:00,01/08/2004 14:00,03015-7,Post-brood,F,20
5143348,-44.96891,-34.74552,-44.98561,-34.68872,01/08/2004,15:00:00,01/08/2004 15:00,03015-7,Post-brood,F,21
5143348,-44.98561,-34.68872,-44.7748,-34.63371,01/08/2004,17:00:00,01/08/2004 17:00,03015-7,Post-brood,F,22
5143348,-44.7748,-34.63371,-44.42355,-34.58174,01/08/2004,18:00:00,01/08/2004 18:00,03015-7,Post-brood,F,23
5143348,-44.42355,-34.58174,-43.98257,-34.55843,01/08/2004,19:00:00,01/08/2004 19:00,03015-7,Post-brood,F,24
5143348,-43.98257,-34.55843,-43.97903,-34.55639,01/08/2004,20:00:00,01/08/2004 20:00,03015-7,Post-brood,F,25
5143348,-43.97903,-34.55639,-43.91164,-34.55442,01/08/2004,21:00:00,01/08/2004 21:00,03015-7,Post-brood,F,26
5143348,-43.91164,-34.55442,-43.51598,-34.65562,01/08/2004,22:00:00,01/08/2004 22:00,03015-7,Post-brood,F,27
5143348,-43.51598,-34.65562,-43.50698,-34.64033,01/08/2004,23:00:00,01/08/2004 23:00,03015-7,Post-brood,F,28
5143348,-43.50698,-34.64033,-43.32507,-34.69156,02/08/2004,0:00:00,02/08/2004 0:00,03015-7,Post-brood,F,29
5143348,-43.32507,-34.69156,-43.03166,-34.781,02/08/2004,1:00:00,02/08/2004 1:00,03015-7,Post-brood,F,30
5143348,-43.03166,-34.781,-42.73357,-34.9209,02/08/2004,2:00:00,02/08/2004 2:00,03015-7,Post-brood,F,31
