START OF DATA,clicks,species,day,month,year,am.om,time
14/06/2006 8:59,0,dolphin,14,6,2006,AM,8.59
14/06/2006 9:59,0,dolphin,14,6,2006,AM,9.59
14/06/2006 10:59,0,dolphin,14,6,2006,AM,10.59
14/06/2006 11:59,0,dolphin,14,6,2006,AM,11.59
14/06/2006 12:59,0,dolphin,14,6,2006,PM,12.59
14/06/2006 13:59,0,dolphin,14,6,2006,PM,13.59
14/06/2006 14:59,0,dolphin,14,6,2006,PM,14.59
14/06/2006 15:59,0,dolphin,14,6,2006,PM,15.59
14/06/2006 16:59,0,dolphin,14,6,2006,PM,16.59
14/06/2006 17:59,0,dolphin,14,6,2006,PM,17.59
14/06/2006 18:59,0,dolphin,14,6,2006,PM,18.59
14/06/2006 19:59,0,dolphin,14,6,2006,PM,19.59
14/06/2006 20:59,0,dolphin,14,6,2006,PM,20.59
14/06/2006 21:59,0,dolphin,14,6,2006,PM,21.59
14/06/2006 22:59,0,dolphin,14,6,2006,PM,22.59
14/06/2006 23:59,0,dolphin,14,6,2006,PM,23.59
15/06/2006 0:59,0,dolphin,15,6,2006,AM,0.59
15/06/2006 1:59,0,dolphin,15,6,2006,AM,1.59
15/06/2006 2:59,0,dolphin,15,6,2006,AM,2.59
15/06/2006 3:59,0,dolphin,15,6,2006,AM,3.59
15/06/2006 4:59,0,dolphin,15,6,2006,AM,4.59
15/06/2006 5:59,0,dolphin,15,6,2006,AM,5.59
15/06/2006 6:59,0,dolphin,15,6,2006,AM,6.59
15/06/2006 7:59,0,dolphin,15,6,2006,AM,7.59
15/06/2006 8:59,0,dolphin,15,6,2006,AM,8.59
15/06/2006 9:59,0,dolphin,15,6,2006,AM,9.59
15/06/2006 10:59,0,dolphin,15,6,2006,AM,10.59
15/06/2006 11:59,0,dolphin,15,6,2006,AM,11.59
15/06/2006 12:59,2,dolphin,15,6,2006,PM,12.59
15/06/2006 13:59,1,dolphin,15,6,2006,PM,13.59
15/06/2006 14:59,0,dolphin,15,6,2006,PM,14.59
15/06/2006 15:59,2,dolphin,15,6,2006,PM,15.59
15/06/2006 16:59,0,dolphin,15,6,2006,PM,16.59
15/06/2006 17:59,9,dolphin,15,6,2006,PM,17.59
15/06/2006 18:59,6,dolphin,15,6,2006,PM,18.59
15/06/2006 19:59,0,dolphin,15,6,2006,PM,19.59
15/06/2006 20:59,3,dolphin,15,6,2006,PM,20.59
15/06/2006 21:59,0,dolphin,15,6,2006,PM,21.59
15/06/2006 22:59,0,dolphin,15,6,2006,PM,22.59
15/06/2006 23:59,0,dolphin,15,6,2006,PM,23.59
16/06/2006 0:59,0,dolphin,16,6,2006,AM,0.59
16/06/2006 1:59,0,dolphin,16,6,2006,AM,1.59
16/06/2006 2:59,0,dolphin,16,6,2006,AM,2.59
16/06/2006 3:59,1,dolphin,16,6,2006,AM,3.59
16/06/2006 4:59,2,dolphin,16,6,2006,AM,4.59
16/06/2006 5:59,20,dolphin,16,6,2006,AM,5.59
16/06/2006 6:59,8,dolphin,16,6,2006,AM,6.59
16/06/2006 7:59,0,dolphin,16,6,2006,AM,7.59
16/06/2006 8:59,1,dolphin,16,6,2006,AM,8.59
16/06/2006 9:59,4,dolphin,16,6,2006,AM,9.59
16/06/2006 10:59,0,dolphin,16,6,2006,AM,10.59
16/06/2006 11:59,4,dolphin,16,6,2006,AM,11.59
16/06/2006 12:59,0,dolphin,16,6,2006,PM,12.59
16/06/2006 13:59,0,dolphin,16,6,2006,PM,13.59
16/06/2006 14:59,0,dolphin,16,6,2006,PM,14.59
16/06/2006 15:59,0,dolphin,16,6,2006,PM,15.59
16/06/2006 16:59,0,dolphin,16,6,2006,PM,16.59
16/06/2006 17:59,0,dolphin,16,6,2006,PM,17.59
16/06/2006 18:59,3,dolphin,16,6,2006,PM,18.59
16/06/2006 19:59,0,dolphin,16,6,2006,PM,19.59
16/06/2006 20:59,0,dolphin,16,6,2006,PM,20.59
16/06/2006 21:59,1,dolphin,16,6,2006,PM,21.59
16/06/2006 22:59,0,dolphin,16,6,2006,PM,22.59
16/06/2006 23:59,0,dolphin,16,6,2006,PM,23.59
17/06/2006 0:59,0,dolphin,17,6,2006,AM,0.59
17/06/2006 1:59,0,dolphin,17,6,2006,AM,1.59
17/06/2006 2:59,0,dolphin,17,6,2006,AM,2.59
17/06/2006 3:59,0,dolphin,17,6,2006,AM,3.59
17/06/2006 4:59,2,dolphin,17,6,2006,AM,4.59
17/06/2006 5:59,6,dolphin,17,6,2006,AM,5.59
17/06/2006 6:59,6,dolphin,17,6,2006,AM,6.59
17/06/2006 7:59,10,dolphin,17,6,2006,AM,7.59
17/06/2006 8:59,1,dolphin,17,6,2006,AM,8.59
