LINKID	N	DATE_	TIME1	TIME2	DAYLENGTH	LONG	LAT	COMMENT	VISCODE	TRACKTIME	ELAPSED	DISTANCE	VELOCITY	SUNRISE	SUNSET	DAYNIGHT	PLENGTH
2	218	15/10/2007	1:49:30 PM	03:03:14:998	13:13:44:998	49.96	74.65	1	0	879688000	10.277777780	136.746000000	13.304995540	04:21	12:29	N	3.93
3	219	16/10/2007	3:03:14 AM	13:40:45:009	10:37:30:009	50.99	71.16	0	0	879736000	13.333333330	389.269000000	29.195148190	03:57	12:45	N	3.64
4	220	16/10/2007	1:40:45 PM	03:12:10:713	13:31:25:713	49.88	72.71	1	0	879774000	10.555555560	176.432000000	16.714646000	04:12	12:39	N	1.91
5	221	17/10/2007	3:12:10 AM	13:18:45:002	10:06:34:002	52.57	73.51	1	0	879823000	13.611111110	124.260000000	9.129304517	04:12	12:16	N	2.81
6	222	17/10/2007	1:18:45 PM	03:40:44:991	14:21:59:991	49.00	76.35	1	0	879859000	10.000000000	331.879000000	33.187945390	04:56	12:00	N	4.56
7	223	18/10/2007	3:40:44 AM	13:20:17:728	09:39:32:728	48.76	76.41	0	0	879911000	14.444444440	9.159558222	0.634123262	05:06	11:52	N	0.25
8	224	18/10/2007	1:20:17 PM	04:22:24:998	15:02:07:998	43.55	77.91	1	0	879946000	9.722222222	210.410000000	21.642178850	05:52	11:48	N	5.42
9	225	19/10/2007	4:22:24 AM	13:57:25:003	09:35:00:003	38.86	77.10	1	0	880000000	15.000000000	144.211000000	9.614041384	06:05	12:12	N	4.76
10	226	19/10/2007	1:57:25 PM	04:50:44:991	14:53:19:991	35.32	76.79	1	0	880034000	9.444444444	95.285390770	10.089041380	06:14	12:31	N	3.55
11	227	20/10/2007	4:50:44 AM	14:10:45:009	09:20:00:009	33.60	76.38	1	0	880088000	15.000000000	63.573726700	4.238248447	06:22	12:37	N	1.77
12	228	20/10/2007	2:10:45 PM	05:11:02:647	15:00:17:647	31.07	76.62	1	0	880121000	9.166666667	70.837141640	7.727688179	06:37	12:42	N	2.54
13	229	21/10/2007	5:11:02 AM	14:07:25:003	08:56:22:003	31.44	76.53	0	0	880175000	15.000000000	13.825746550	0.921716437	06:42	12:34	N	0.38
14	230	21/10/2007	2:07:25 PM	05:04:04:997	14:56:39:997	32.31	76.41	0	0	880208000	9.166666667	26.256382450	2.864332631	06:36	12:32	N	0.88
15	231	22/10/2007	5:04:04 AM	13:40:02:144	08:35:57:144	35.69	76.23	1	0	880261000	14.722222220	91.040222750	6.183864187	06:28	12:13	N	3.38
16	232	22/10/2007	1:40:02 PM	06:13:14:998	16:33:12:998	27.05	78.67	1	0	880292000	8.611111111	341.412000000	39.647807100	08:08	11:42	N	8.98
17	233	23/10/2007	6:13:14 AM	13:55:45:005	07:42:30:005	25.04	79.02	1	0	880352000	16.666666670	58.132588530	3.487955312	08:55	11:11	N	2.04
18	234	23/10/2007	1:55:45 PM	05:35:44:995	15:39:59:995	29.73	78.00	1	0	880380000	7.777777778	153.619000000	19.751053260	07:47	11:42	N	4.80
19	235	24/10/2007	5:35:44 AM	13:39:45:001	08:04:00:001	31.69	76.83	1	0	880436000	15.555555560	138.389000000	8.896417550	07:16	11:57	N	2.28
20	236	24/10/2007	1:39:45 PM	04:55:44:995	15:15:59:995	36.69	76.21	1	0	880465000	8.055555556	146.640000000	18.203647720	06:42	11:51	N	5.04
21	237	25/10/2007	4:55:44 AM	13:58:45:002	09:03:00:002	34.29	73.59	1	0	880520000	15.277777780	299.262000000	19.588073080	06:15	12:38	N	3.55
22	238	25/10/2007	1:58:45 PM	05:22:44:998	15:23:59:998	30.91	73.88	1	0	880553000	9.166666667	110.007000000	12.000766720	06:32	12:47	N	3.39
23	239	26/10/2007	5:22:44 AM	14:15:45:005	08:53:00:005	28.76	73.48	1	0	880608000	15.277777780	80.510808770	5.269798392	06:42	12:54	N	2.19
24	240	26/10/2007	2:15:45 PM	04:54:04:997	14:38:19:997	32.34	71.68	1	0	880640000	8.888888889	232.710000000	26.179842330	06:06	13:02	N	4.01
25	241	27/10/2007	4:54:04 AM	14:20:45:009	09:26:40:009	31.69	69.22	0	0	880693000	14.722222220	274.430000000	18.640542000	05:51	13:22	N	2.54
26	242	27/10/2007	2:20:45 PM	05:40:44:991	15:19:59:991	25.85	71.23	1	0	880727000	9.444444444	312.957000000	33.136669380	06:32	13:27	N	6.18
27	243	28/10/2007	5:40:44 AM	14:40:45:009	09:00:00:009	23.33	71.59	1	0	880782000	15.277777780	97.817647720	6.402609669	06:52	13:28	N	2.55
28	244	28/10/2007	2:40:45 PM	06:53:14:998	16:12:29:998	14.27	73.46	1	0	880814000	8.888888889	366.278000000	41.206221790	07:53	13:39	N	9.25
29	245	29/10/2007	6:53:14 AM	15:18:15:002	08:25:00:002	9.56	73.86	1	0	880873000	16.388888890	153.767000000	9.382412697	08:26	13:43	N	4.73
30	246	29/10/2007	3:18:15 PM	07:32:44:998	16:14:29:998	4.62	73.92	1	0	880903000	8.333333333	152.428000000	18.291390640	08:47	14:02	N	4.94
31	247	30/10/2007	7:32:44 AM	16:00:25:000	08:27:40:000	-0.67	73.22	1	0	880962000	16.388888890	183.484000000	11.195641280	09:03	14:28	N	5.34
32	248	30/10/2007	4:00:25 PM	07:53:14:998	15:52:49:998	-3.23	72.56	1	0	880992000	8.333333333	111.268000000	13.352167620	09:03	14:49	N	2.64
33	249	31/10/2007	7:53:14 AM	17:28:15:002	09:35:00:002	-14.22	69.37	1	0	881049000	15.833333330	531.797000000	33.587159340	09:14	16:05	N	11.44
34	250	31/10/2007	5:28:15 PM	08:02:10:713	14:33:55:713	-15.34	65.21	1	0	881084000	9.722222222	464.751000000	47.802969400	08:46	16:42	N	4.31
35	251	01/11/2007	8:02:10 AM	18:37:25:003	10:35:14:003	-24.00	59.93	1	0	881136000	14.444444440	734.039000000	50.818074850	08:57	17:41	N	10.14
