LINKID	N	DATE_	TIME1	TIME2	DAYLENGTH	LONG	LAT	COMMENT	VISCODE	TRACKTIME	ELAPSED	DISTANCE	VELOCITY	SUNRISE	SUNSET	DAYNIGHT	PLENGTH
36	252	01/11/2007	6:37:25 PM	09:01:20:294	14:23:55:294	-31.39	59.03	1	0	881174000	10.555555560	428.621000000	40.606158790	09:23	18:15	N	7.44
37	253	02/11/2007	9:01:20 AM	19:08:45:002	10:07:24:002	-35.32	60.60	1	0	881226000	14.444444440	280.375000000	19.410611200	09:48	18:21	N	4.23
38	254	02/11/2007	7:08:45 PM	09:23:14:998	14:14:29:998	-38.06	59.82	1	0	881263000	10.277777780	174.327000000	16.961552830	09:55	18:35	N	2.85
39	255	03/11/2007	9:23:14 AM	19:19:19:287	09:56:04:287	-39.38	59.97	1	0	881314000	14.166666670	75.438422580	5.325065123	10:04	18:37	N	1.33
40	256	03/11/2007	7:19:19 PM	09:11:59:999	13:52:40:999	-37.97	58.11	1	0	881350000	10.000000000	221.841000000	22.184135010	09:50	18:40	N	2.33
41	257	04/11/2007	9:11:59 AM	19:20:09:706	10:08:09:706	-38.08	56.21	0	0	881400000	13.888888890	211.242000000	15.209400390	09:46	18:45	N	1.90
42	258	04/11/2007	7:20:09 PM	09:31:59:999	14:11:50:999	-40.58	57.97	1	0	881436000	10.000000000	247.018000000	24.701778130	10:03	18:48	N	3.06
43	259	05/11/2007	9:31:59 AM	19:29:45:001	09:57:45:001	-41.78	58.12	0	0	881487000	14.166666670	72.516611010	5.118819601	10:10	18:50	N	1.21
44	260	05/11/2007	7:29:45 PM	09:41:51:666	14:12:06:666	-43.01	58.14	0	0	881523000	10.000000000	72.201450200	7.220145021	10:15	18:55	N	1.23
45	261	06/11/2007	9:41:51 AM	19:20:17:728	09:38:26:728	-41.82	58.99	0	0	881574000	14.166666670	116.951000000	8.255350935	10:17	18:44	N	1.46
46	262	06/11/2007	7:20:17 PM	09:51:05:000	14:30:47:000	-42.98	60.39	0	0	881609000	9.722222222	168.623000000	17.344074270	10:28	18:42	N	1.82
47	263	07/11/2007	9:51:05 AM	19:45:45:005	09:54:40:005	-46.15	58.50	1	0	881661000	14.444444440	275.947000000	19.104028620	10:34	19:02	N	3.69
48	264	07/11/2007	7:45:45 PM	09:52:24:998	14:06:39:998	-46.32	56.53	0	0	881697000	10.000000000	219.151000000	21.915127310	10:26	19:11	N	1.98
49	265	08/11/2007	9:52:24 AM	19:40:45:009	09:48:20:009	-45.68	56.40	0	0	881748000	14.166666670	41.861483870	2.954928273	10:26	19:07	N	0.65
50	266	08/11/2007	7:40:45 PM	09:53:14:998	14:12:29:998	-45.78	56.88	0	0	881783000	9.722222222	53.688926990	5.522289633	10:28	19:05	N	0.49
51	267	09/11/2007	9:53:14 AM	19:37:25:003	09:44:10:003	-45.35	56.58	0	0	881834000	14.166666670	42.408996510	2.993576224	10:27	19:03	N	0.52
52	268	09/11/2007	7:37:25 PM	10:15:44:995	14:38:19:995	-48.17	58.57	1	0	881869000	9.722222222	277.684000000	28.561742640	10:47	19:05	N	3.45
53	269	10/11/2007	10:15:44 AM	19:48:45:002	09:33:00:002	-49.56	58.77	1	0	881922000	14.722222220	83.332638690	5.660330176	10:56	19:07	N	1.40
54	270	10/11/2007	7:48:45 PM	10:03:14:998	14:14:29:998	-48.00	57.01	1	0	881956000	9.444444444	216.186000000	22.890292780	10:42	19:09	N	2.35
55	271	11/11/2007	10:03:14 AM	19:49:45:001	09:46:30:001	-48.10	55.32	0	0	882007000	14.166666670	187.903000000	13.263761410	10:37	19:15	N	1.69
56	272	11/11/2007	7:49:45 PM	10:11:12:272	14:21:27:272	-49.10	55.89	0	0	882043000	10.000000000	89.176180430	8.917618043	10:44	19:17	N	1.15
57	273	12/11/2007	10:11:12 AM	19:59:19:287	09:48:07:287	-50.27	55.18	0	0	882094000	14.166666670	107.879000000	7.614997360	10:47	19:22	N	1.37
58	274	12/11/2007	7:59:19 PM	10:11:15:000	14:11:55:000	-50.27	54.39	0	0	882130000	10.000000000	87.788839640	8.778883965	10:44	19:26	N	0.79
59	275	13/11/2007	10:11:15 AM	19:57:25:003	09:46:10:003	-50.01	53.98	0	0	882181000	14.166666670	48.597028870	3.430378508	10:43	19:25	N	0.49
60	276	13/11/2007	7:57:25 PM	10:21:18:333	14:23:53:333	-51.26	54.97	0	0	882216000	9.722222222	136.442000000	14.033989560	10:52	19:26	N	1.59
61	277	14/11/2007	10:21:18 AM	20:05:45:005	09:44:26:005	-52.27	54.56	0	0	882268000	14.444444440	79.174133410	5.481286159	10:57	19:30	N	1.09
62	278	14/11/2007	8:05:45 PM	10:23:14:998	14:17:29:998	-52.51	54.04	0	0	882303000	9.722222222	59.844050040	6.155388004	10:55	19:33	N	0.57
63	279	15/11/2007	10:23:14 AM	19:50:45:009	09:27:30:009	-50.60	54.86	1	0	882354000	14.166666670	153.392000000	10.827701380	10:53	19:20	N	2.08
64	280	15/11/2007	7:50:45 PM	10:21:01:667	14:30:16:667	-50.33	55.82	0	0	882388000	9.444444444	108.036000000	11.439093660	10:56	19:15	N	1.00
65	281	16/11/2007	10:21:01 AM	19:50:26:250	09:29:24:250	-50.25	55.18	0	0	882440000	14.444444440	71.298089770	4.936021600	10:55	19:16	N	0.64
66	282	16/11/2007	7:50:26 PM	10:11:59:999	14:21:33:999	-49.12	54.52	0	0	882475000	9.722222222	102.981000000	10.592293400	10:48	19:14	N	1.31
67	283	17/11/2007	10:11:59 AM	19:35:45:005	09:23:45:005	-47.24	54.46	1	0	882526000	14.166666670	121.527000000	8.578359672	10:42	19:05	N	1.88
68	284	17/11/2007	7:35:45 PM	10:14:04:997	14:38:19:997	-47.50	55.68	0	0	882560000	9.444444444	136.578000000	14.461196760	10:49	19:01	N	1.25
69	285	18/11/2007	10:14:04 AM	19:30:21:923	09:16:16:923	-46.78	55.74	1	0	882613000	14.722222220	45.566461280	3.095080389	10:48	18:56	N	0.72
70	286	18/11/2007	7:30:21 PM	10:01:59:999	14:31:38:999	-45.27	55.27	1	0	882646000	9.166666667	108.434000000	11.829135280	10:40	18:52	N	1.58
71	287	19/11/2007	10:01:59 AM	19:27:25:003	09:25:25:003	-44.85	54.16	0	0	882699000	14.722222220	126.260000000	8.576162851	10:35	18:54	N	1.19
72	288	19/11/2007	7:27:25 PM	09:50:44:991	14:23:19:991	-43.44	53.54	1	0	882732000	9.166666667	115.279000000	12.575894720	10:26	18:51	N	1.54
73	289	20/11/2007	9:50:44 AM	19:00:13:422	09:09:28:422	-39.99	54.28	1	0	882784000	14.444444440	240.308000000	16.636712300	10:18	18:33	N	3.53
74	290	20/11/2007	7:00:13 PM	09:31:59:999	14:31:46:999	-37.65	54.87	1	0	882817000	9.166666667	164.356000000	17.929786390	10:11	18:21	N	2.41
75	291	21/11/2007	9:31:59 AM	18:47:25:003	09:15:25:003	-35.99	54.04	1	0	882870000	14.722222220	141.440000000	9.607260517	10:02	18:17	N	1.86
76	292	21/11/2007	6:47:25 PM	09:10:44:991	14:23:19:991	-33.33	53.42	1	0	882903000	9.166666667	187.939000000	20.502383960	09:49	18:09	N	2.73
77	293	22/11/2007	9:10:44 AM	18:30:05:001	09:19:20:001	-31.11	52.72	0	0	882955000	14.444444440	167.387000000	11.588298920	09:39	18:02	N	2.33
78	294	22/11/2007	6:30:05 PM	08:20:44:991	13:50:39:991	-24.86	50.13	1	0	882988000	9.166666667	519.700000000	56.694548160	09:03	17:47	N	6.77
79	295	23/11/2007	8:20:44 AM	17:49:05:002	09:28:20:002	-19.67	48.97	1	0	883038000	13.888888890	395.660000000	28.487514760	08:40	17:30	N	5.32
80	296	23/11/2007	5:49:05 PM	07:53:14:998	14:04:09:998	-16.23	50.11	1	0	883072000	9.444444444	278.500000000	29.488192340	08:30	17:12	N	3.62
81	297	24/11/2007	7:53:14 AM	16:18:45:002	08:25:30:002	-4.87	54.41	1	0	883123000	14.166666670	906.892000000	64.015907440	08:05	16:07	N	12.15
82	298	24/11/2007	4:18:45 PM	07:51:39:545	15:32:54:545	-4.67	59.50	0	0	883153000	8.333333333	565.756000000	67.890714790	08:34	15:36	N	5.09
83	299	25/11/2007	7:51:39 AM	16:05:45:005	08:14:05:005	-2.98	59.72	1	0	883209000	15.555555560	98.097657350	6.306277972	08:31	15:26	N	1.70
84	300	25/11/2007	4:05:45 PM	07:42:24:998	15:36:39:998	-1.82	59.90	0	0	883239000	8.333333333	67.837334330	8.140480120	08:28	15:20	N	1.17
85	301	26/11/2007	7:42:24 AM	16:08:45:002	08:26:20:002	-2.12	58.99	0	0	883295000	15.555555560	102.534000000	6.591464110	08:24	15:26	N	0.96
86	302	26/11/2007	4:08:45 PM	08:01:44:999	15:52:59:999	-4.54	59.77	1	0	883325000	8.333333333	162.080000000	19.449605240	08:40	15:30	N	2.54
87	303	27/11/2007	8:01:44 AM	16:09:19:287	08:07:34:287	-4.53	60.32	0	0	883383000	16.111111110	61.121330870	3.793737778	08:46	15:25	N	0.55
88	304	27/11/2007	4:09:19 PM	08:00:44:991	15:51:25:991	-4.41	60.25	0	0	883412000	8.055555556	10.207881650	1.267185308	08:45	15:25	N	0.14
89	305	28/11/2007	8:00:44 AM	15:58:15:002	07:57:30:002	-2.95	60.40	1	0	883469000	15.833333330	82.032533540	5.181002118	08:43	15:16	N	1.47
90	306	28/11/2007	3:58:15 PM	08:02:24:998	16:04:09:998	-3.15	60.94	0	0	883497000	7.777777778	60.987031150	7.841189719	08:48	15:12	N	0.58
91	307	29/11/2007	8:02:24 AM	16:15:45:005	08:13:20:005	-5.26	59.98	1	0	883555000	16.111111110	157.291000000	9.762861049	08:51	15:27	N	2.32
92	308	29/11/2007	4:15:45 PM	08:55:44:995	16:39:59:995	-11.92	61.47	1	0	883585000	8.333333333	397.746000000	47.729571500	09:30	15:41	N	6.82
93	309	30/11/2007	8:55:44 AM	16:10:45:009	07:15:00:009	-11.21	63.32	0	0	883645000	16.666666670	208.804000000	12.528215300	09:49	15:17	N	1.98
94	310	30/11/2007	4:10:45 PM	08:49:19:286	16:38:34:286	-10.41	63.27	0	0	883671000	7.222222222	40.335676160	5.584939776	09:45	15:15	N	0.80
95	311	01/12/2007	8:49:19 AM	16:08:15:002	07:18:55:002	-10.01	62.90	1	0	883731000	16.666666670	45.775428620	2.746525717	09:42	15:16	N	0.54
96	312	01/12/2007	4:08:15 PM	09:01:05:000	16:52:49:000	-11.48	63.37	1	0	883757000	7.222222222	90.422984590	12.520105560	09:53	15:16	N	1.54
97	313	02/12/2007	9:01:05 AM	16:10:45:009	07:09:40:009	-11.70	63.44	0	0	883818000	16.944444440	13.427400590	0.792436756	09:57	15:14	N	0.23
98	314	02/12/2007	4:10:45 PM	09:02:24:998	16:51:39:998	-11.87	63.40	0	0	883844000	7.222222222	9.550314192	1.322351196	09:58	15:15	N	0.17
99	315	03/12/2007	9:02:24 AM	17:08:45:002	08:06:20:002	-19.02	61.22	1	0	883905000	16.944444440	441.216000000	26.039000040	10:05	16:06	N	7.47
100	316	03/12/2007	5:08:45 PM	07:31:16:578	14:22:31:578	-7.63	54.06	3	0	883934000	8.055555556	1042.060000000	129.359000000	08:29	16:11	N	13.45
101	317	04/12/2007	7:31:16 AM	16:50:45:009	09:19:28:009	-5.29	48.87	1	0	883985000	14.166666670	598.971000000	42.280330220	07:56	16:26	N	5.69
102	318	04/12/2007	4:50:45 PM	10:24:04:997	17:33:19:997	-26.89	59.75	1	0	884019000	9.444444444	1835.020000000	194.296000000	10:26	16:49	N	24.19
103	319	05/12/2007	10:24:04 AM	17:47:25:003	07:23:20:003	-33.87	63.66	1	0	884082000	17.500000000	568.546000000	32.488350810	11:37	16:35	N	8.00
104	320	05/12/2007	5:47:25 PM	10:35:44:995	16:48:19:995	-35.33	62.23	0	0	884109000	7.500000000	175.197000000	23.359615770	11:25	16:58	N	2.04
105	321	06/12/2007	10:35:44 AM	18:18:15:002	07:42:30:002	-39.08	61.37	1	0	884169000	16.666666670	218.842000000	13.130538730	11:33	17:21	N	3.85
106	322	06/12/2007	6:18:15 PM	10:25:44:995	16:07:29:995	-37.83	59.81	0	0	884197000	7.777777778	186.284000000	23.950751460	11:13	17:31	N	2.00
107	323	07/12/2007	10:25:44 AM	18:20:45:009	07:55:00:009	-38.04	59.11	0	0	884255000	16.111111110	78.686115950	4.883965818	11:10	17:37	N	0.73
108	324	07/12/2007	6:20:45 PM	10:31:18:333	16:10:33:333	-38.74	59.24	0	0	884284000	8.055555556	42.396595100	5.263025598	11:14	17:38	N	0.71
109	325	08/12/2007	10:31:18 AM	18:30:45:009	07:59:26:009	-39.88	58.88	0	0	884342000	16.111111110	76.435784500	4.744290073	11:17	17:45	N	1.20
110	326	08/12/2007	6:30:45 PM	10:23:14:998	15:52:29:998	-38.87	58.09	0	0	884371000	8.055555556	105.586000000	13.107170350	11:07	17:47	N	1.28
111	327	09/12/2007	10:23:14 AM	18:19:05:002	07:55:50:002	-37.31	58.09	1	0	884428000	15.833333330	91.631166720	5.787231582	11:02	17:41	N	1.56
112	328	09/12/2007	6:19:05 PM	10:32:44:998	16:13:39:998	-38.49	59.00	1	0	884456000	7.777777778	122.095000000	15.697916590	11:14	17:38	N	1.49
113	329	10/12/2007	10:32:44 AM	17:39:50:455	07:07:05:455	-33.48	60.76	1	0	884515000	16.388888890	340.889000000	20.800017170	11:11	17:02	N	5.31
114	330	10/12/2007	5:39:50 PM	09:22:10:713	15:42:20:713	-24.66	59.56	1	0	884540000	6.944444444	505.155000000	72.742389630	10:25	16:37	N	8.90
115	331	11/12/2007	9:22:10 AM	16:29:38:334	07:07:27:334	-15.77	59.41	1	0	884597000	15.833333330	501.523000000	31.675151220	09:49	16:03	N	8.89
116	332	11/12/2007	4:29:38 PM	08:31:51:666	16:02:13:666	-9.48	60.18	1	0	884623000	7.222222222	361.759000000	50.089729710	09:31	15:31	N	6.34
117	333	12/12/2007	8:31:51 AM	16:00:02:144	07:28:10:144	-5.67	59.25	1	0	884680000	15.833333330	237.164000000	14.978758620	09:09	15:23	N	3.92
118	334	12/12/2007	4:00:02 PM	08:13:14:998	16:13:12:998	-3.34	59.69	1	0	884707000	7.500000000	140.314000000	18.708581780	09:03	15:10	N	2.37
119	335	13/12/2007	8:13:14 AM	15:40:25:000	07:27:10:000	-0.77	59.61	1	0	884766000	16.388888890	144.568000000	8.821124021	08:54	15:00	N	2.57
120	336	13/12/2007	3:40:25 PM	08:13:14:998	16:32:49:998	-0.77	60.35	0	0	884792000	7.222222222	82.232583970	11.386050090	09:01	14:53	N	0.74
121	337	14/12/2007	8:13:14 AM	15:08:45:002	06:55:30:002	3.30	61.36	1	0	884852000	16.666666670	247.157000000	14.829446640	08:56	14:26	N	4.19
122	338	14/12/2007	3:08:45 PM	09:54:04:997	18:45:19:997	-9.30	65.07	1	0	884877000	6.944444444	751.702000000	108.245000000	10:40	14:23	N	13.13
123	339	15/12/2007	9:54:04 AM	19:10:26:213	09:16:21:213	-39.40	60.99	3	0	884944000	18.611111110	1566.120000000	84.149888260	11:44	17:21	N	30.38
124	342	19/12/2007	6:50:07 PM	10:41:22:499	15:51:14:499	-42.29	56.98	1	0	885322000	105.000000000	475.231000000	4.526007571	11:24	18:08	N	4.94
125	343	20/12/2007	10:41:22 AM	19:30:35:625	08:49:13:625	-47.22	54.37	1	0	885379000	15.833333330	423.547000000	26.750333330	11:27	18:45	N	5.58
126	344	20/12/2007	7:30:35 PM	10:51:51:666	15:21:16:666	-48.53	52.70	0	0	885411000	8.888888889	204.747000000	23.034071540	11:23	19:00	N	2.12
127	345	21/12/2007	10:51:51 AM	19:39:38:334	08:47:46:334	-49.54	52.76	0	0	885466000	15.277777780	68.292859100	4.470078050	11:28	19:04	N	1.01
128	346	21/12/2007	7:39:38 PM	11:00:57:000	15:21:18:000	-50.68	52.76	0	0	885498000	8.888888889	76.661831470	8.624456041	11:32	19:09	N	1.14
129	347	22/12/2007	11:00:57 AM	19:48:45:002	08:47:48:002	-51.70	52.74	1	0	885553000	15.277777780	68.644042800	4.493064619	11:37	19:14	N	1.02
130	348	22/12/2007	7:48:45 PM	11:10:44:991	15:21:59:991	-52.92	52.78	1	0	885585000	8.888888889	82.161801060	9.243202620	11:42	19:18	N	1.22
131	349	23/12/2007	11:10:44 AM	19:29:58:847	08:19:13:847	-50.45	54.36	1	0	885640000	15.277777780	239.545000000	15.679311530	11:42	19:00	N	2.93
132	350	23/12/2007	7:29:58 PM	11:00:56:539	15:30:57:539	-49.22	54.83	0	0	885670000	8.333333333	94.858859830	11.383063180	11:40	18:52	N	1.32
133	351	24/12/2007	11:00:56 AM	19:30:45:009	08:29:48:009	-49.20	54.29	1	0	885726000	15.555555560	60.021397180	3.858518390	11:37	18:56	N	0.54
134	352	24/12/2007	7:30:45 PM	10:51:59:999	15:21:14:999	-48.08	53.76	0	0	885757000	8.611111111	93.881609400	10.902380450	11:29	18:55	N	1.24
135	353	25/12/2007	10:51:59 AM	19:28:45:002	08:36:45:002	-47.71	53.40	0	0	885812000	15.277777780	46.864412530	3.067488820	11:26	18:56	N	0.52
136	354	25/12/2007	7:28:45 PM	10:41:10:000	15:12:24:000	-46.35	52.89	1	0	885843000	8.611111111	106.903000000	12.414484280	11:17	18:53	N	1.45
137	355	26/12/2007	10:41:10 AM	19:08:15:002	08:27:05:002	-43.67	53.48	1	0	885898000	15.277777780	190.109000000	12.443487270	11:10	18:40	N	2.74
138	356	26/12/2007	7:08:15 PM	10:04:04:997	14:55:49:997	-39.03	52.52	1	0	885928000	8.333333333	328.061000000	39.367333050	10:47	18:27	N	4.74
139	357	27/12/2007	10:04:04 AM	18:49:19:287	08:45:14:287	-36.54	51.47	1	0	885982000	15.000000000	206.480000000	13.765340000	10:31	18:23	N	2.70
140	358	27/12/2007	6:49:19 PM	09:32:44:998	14:43:25:998	-32.62	50.69	1	0	886013000	8.611111111	287.022000000	33.331600520	10:12	18:11	N	4.00
141	359	28/12/2007	9:32:44 AM	17:18:15:002	07:45:30:002	-21.12	54.27	1	0	886066000	14.722222220	872.674000000	59.275981890	09:45	17:07	N	12.04
142	360	28/12/2007	5:18:15 PM	08:22:44:998	15:04:29:998	-12.37	55.36	1	0	886094000	7.777777778	572.813000000	73.647340410	09:17	16:25	N	8.82
143	361	29/12/2007	8:22:44 AM	16:45:45:005	08:23:00:005	-8.18	53.43	1	0	886149000	15.277777780	345.560000000	22.618492520	08:49	16:21	N	4.61
144	362	29/12/2007	4:45:45 PM	08:24:04:997	15:38:19:997	-8.35	55.25	0	0	886179000	8.333333333	202.547000000	24.305659770	09:00	16:11	N	1.83
145	363	30/12/2007	8:24:04 AM	16:09:30:001	07:45:25:001	-3.70	57.14	1	0	886235000	15.555555560	355.914000000	22.880154660	08:54	15:40	N	5.02
146	364	30/12/2007	4:09:30 PM	08:43:14:998	16:33:44:998	-6.09	59.47	1	0	886263000	7.777777778	294.085000000	37.810900770	09:23	15:31	N	3.34
147	365	31/12/2007	8:43:14 AM	16:20:17:728	07:37:02:728	-7.32	59.88	1	0	886323000	16.666666670	82.693363040	4.961601782	09:31	15:33	N	1.30
148	366	31/12/2007	4:20:17 PM	08:45:44:995	16:25:27:995	-7.63	59.56	0	0	886350000	7.500000000	39.575550130	5.276740017	09:29	15:38	N	0.45
149	367	01/01/2008	8:45:44 AM	16:05:45:005	07:20:00:005	-5.70	60.30	1	0	886409000	16.388888890	135.307000000	8.256021224	09:28	15:24	N	2.07
150	368	01/01/2008	4:05:45 PM	10:00:44:991	17:54:59:991	-15.07	63.20	1	0	886436000	7.500000000	587.992000000	78.398979600	10:39	15:29	N	9.81
151	369	02/01/2008	10:00:44 AM	16:50:45:009	06:50:00:009	-20.58	64.12	1	0	886500000	17.777777780	290.160000000	16.321502820	11:13	15:40	N	5.59
152	370	02/01/2008	4:50:45 PM	10:54:04:997	18:03:19:997	-27.25	64.33	1	0	886525000	6.944444444	322.998000000	46.511720720	11:43	16:03	N	6.67
153	371	03/01/2008	10:54:04 AM	19:20:15:000	08:26:10:000	-45.82	61.63	1	0	886590000	18.055555560	980.197000000	54.287840790	12:21	17:55	N	18.77
154	372	03/01/2008	7:20:15 PM	10:45:44:995	15:25:29:995	-44.78	54.93	1	0	886620000	8.333333333	746.989000000	89.638636400	11:23	18:44	N	6.78
155	373	04/01/2008	10:45:44 AM	19:45:45:005	09:00:00:005	-47.85	53.18	1	0	886676000	15.555555560	279.097000000	17.941953830	11:25	19:07	N	3.53
156	374	04/01/2008	7:45:45 PM	10:50:44:991	15:04:59:991	-48.47	51.93	1	0	886708000	8.888888889	145.084000000	16.321922340	11:21	19:16	N	1.40
157	375	05/01/2008	10:50:44 AM	19:45:45:005	08:55:00:005	-48.36	52.39	0	0	886762000	15.000000000	51.664629110	3.444308608	11:23	19:15	N	0.47
158	376	05/01/2008	7:45:45 PM	10:51:05:000	15:05:19:000	-48.40	52.41	0	0	886794000	8.888888889	3.506421450	0.394472413	11:23	19:15	N	0.04
159	377	06/01/2008	10:51:05 AM	19:50:26:250	08:59:21:250	-48.88	52.31	0	0	886849000	15.277777780	34.417897090	2.252807810	11:24	19:19	N	0.49
160	378	06/01/2008	7:50:26 PM	11:00:55:714	15:10:29:714	-50.11	52.63	0	0	886881000	8.888888889	90.538613310	10.185594000	11:31	19:22	N	1.27
161	379	07/01/2008	11:00:55 AM	19:47:25:003	08:46:29:003	-49.62	53.59	0	0	886936000	15.277777780	111.574000000	7.303056174	11:33	19:16	N	1.08
162	380	07/01/2008	7:47:25 PM	10:53:14:998	15:05:49:998	-48.66	53.31	0	0	886967000	8.611111111	70.740129190	8.214982745	11:28	19:14	N	1.00
163	381	08/01/2008	10:53:14 AM	19:59:55:001	09:06:40:001	-50.11	52.25	1	0	887022000	15.277777780	152.881000000	10.006728300	11:28	19:26	N	1.80
