"","lat","lon","transect"
"1",48.833993,-125.147521,1
"2",48.834188,-125.147396,2
"3",48.834388,-125.147365,3
"4",48.833989,-125.147339,1
"5",48.83447,-125.14728,4
"6",48.834565,-125.147165,5
"7",48.834344,-125.147074,2
"8",48.83435,-125.14705,4
"9",48.834553,-125.146991,3
"10",48.834451,-125.146814,5
"11",48.83413,-125.14674,6
"12",48.83412,-125.14658,6
