carbon_diatom,carbon_dinoflagellate,month,depth,, 
0.12,0.67,1,20,,
1.88,5.41,2,20,,
6.73,10.04,3,20,,
8.09,12.51,4,20,,
8.8,13.77,5,20,,
9.05,14.06,6,20,, 
8.91,13.74,7,20,,
8.44,12.86,8,20,,
7.55,11.37,9,20,,
6.13,8.36,10,20,,
4.17,4.43,11,20,,
2.03,1.26,12,20,,
0.08,0.23,1,30,, 
0.4,3.5,2,30,,
4.81,9.37,3,30,,
7.59,11.73,4,30,,
8.18,12.82,5,30,,
8.41,13.03,6,30,,
8.25,12.77,7,30,,
7.72,11.97,8,30,,
6.7,10.49,9,30,,
5.09,7.48,10,30,,
2.95,3.52,11,30,,
0.92,0.66,12,30,,
0.1,0.22,1,40,,
0.17,1.99,2,40,,
1.97,8.61,3,40,,
7.2,11.17,4,40,,
7.65,11.86,5,40,,
7.33,7.08,6,40,,
6.91,4.55,7,40,,
6.27,4.78,8,40,,
5.71,9.77,9,40,,
4.03,6.69,10,40,,
1.83,2.71,11,40,,
0.34,0.36,12,40,,
0.15,0.28,1,60,,
0.16,0.67,2,60,,
0.26,6.07,3,60,,
1.92,10.84,4,60,,
6.32,6.1,5,60,,
5.29,3.22,6,60,,
4.53,3.49,7,60,,
3.71,2.97,8,60,,
2.33,2.84,9,60,,
1.39,4.77,10,60,,
0.37,1.5,11,60,,
0.14,0.21,12,60,,
0.17,0.23,1,80,,
0.2,0.43,2,80,,
0.21,3.44,3,80,,
0.37,9.6,4,80,,
3.5,3.75,5,80,,
2.92,2.85,6,80,,
2.25,2.99,7,80,,
1.81,2.54,8,80,,
1.38,2.02,9,80,,
0.95,2.14,10,80,,
0.45,1.43,11,80,,
0.15,0.17,12,80,,
0.16,0.2,1,100,,
0.16,0.29,2,100,,
0.26,1.86,3,100,,
0.47,8.34,4,100,,
3.88,3.76,5,100,,
2.21,3.03,6,100,,
1.92,2.85,7,100,,
1.31,2.61,8,100,,
1.52,1.97,9,100,,
0.92,1.48,10,100,,
0.52,1.69,11,100,,
0.14,0.19,12,100,,
